Date,Open,High,Low,Close,Volume,Market Cap
8/28/2021,3273.89,3287,3210.31,3244.48,262360.3492,262360.3492
8/29/2021,3244.75,3285,3152.34,3223.47,335806.7827,335806.7827
8/30/2021,3223.47,3347.95,3143,3229.64,625347.2754,625347.2754
8/31/2021,3229.14,3476,3188.77,3429.2,863071.1309,863071.1309
9/1/2021,3429.19,3842,3382.22,3826.82,845759.9587,845759.9587
9/2/2021,3826.82,3836.8,3717.04,3785.82,525165.7996,525165.7996
9/3/2021,3785.82,4027.88,3705.05,3938.11,655903.7574,655903.7574
9/4/2021,3938.11,3970,3832.5,3885.52,364478.1193,364478.1193
9/5/2021,3885.61,3980,3830,3950.29,365759.8597,365759.8597
9/6/2021,3950.28,3970,3864.3,3926.77,397768.5783,397768.5783
9/7/2021,3926.67,3947.15,3005,3434.57,1203536.002,1203536.002
9/8/2021,3434.84,3560,3215.16,3499,780611.7657,780611.7657
9/9/2021,3499.01,3567.06,3390.4,3424.93,628553.8831,628553.8831
9/10/2021,3424.94,3514.11,3150,3208.86,633026.2659,633026.2659
9/11/2021,3208.85,3348.37,3200,3267.21,413524.1761,413524.1761
9/12/2021,3267.1,3474.16,3231.1,3404.21,408858.9595,408858.9595
9/13/2021,3404.3,3430.3,3108.49,3285.35,647855.7199,647855.7199
9/14/2021,3285.09,3437.05,3269.95,3434.37,373634.9026,373634.9026
9/15/2021,3434.37,3616.16,3357.78,3613.55,428507.5278,428507.5278
9/16/2021,3613.55,3676.28,3481.14,3567.98,467985.4919,467985.4919
9/17/2021,3567.97,3594.17,3350.07,3399.81,398888.3705,398888.3705
9/18/2021,3399.89,3541.96,3368.88,3435.64,315162.7627,315162.7627
9/19/2021,3435.64,3456.53,3277.74,3328.62,312948.0013,312948.0013
9/20/2021,3328.57,3347.82,2913.39,2977.28,917939.5785,917939.5785
9/21/2021,2977.32,3105.83,2652,2765.9,971519.8894,971519.8894
9/22/2021,2766.72,3088.88,2737.54,3076.92,677457.6483,677457.6483
9/23/2021,3076.92,3174.5,3033.85,3152.5,459293.8858,459293.8858
9/24/2021,3152.41,3158.52,2733,2928.53,932090.8856,932090.8856
9/25/2021,2928.22,2967.52,2801.57,2921.73,491974.0226,491974.0226
9/26/2021,2921.84,3115.51,2738.17,3059.37,703594.478,703594.478
9/27/2021,3059.36,3164.94,2922.71,2925.59,510130.7319,510130.7319
9/28/2021,2924.76,2970.82,2789,2804.91,511325.4643,511325.4643
9/29/2021,2805.15,2950,2782,2850.45,411305.0893,411305.0893
9/30/2021,2850.45,3048.42,2837.19,3000.61,506896.7612,506896.7612
10/1/2021,3000.62,3330,2969.07,3309.91,648714.6151,648714.6151
10/2/2021,3309.91,3469,3257,3387.76,422551.1811,422551.1811
